지점,지점명,일시,최고기온(°C)
108,서울,2025-07-01,31.8
108,서울,2025-07-02,30.9
108,서울,2025-07-03,32
108,서울,2025-07-04,30
108,서울,2025-07-05,32.3
108,서울,2025-07-06,32.8
108,서울,2025-07-07,33.2
108,서울,2025-07-08,37.8
108,서울,2025-07-09,36
108,서울,2025-07-10,36.2
108,서울,2025-07-11,36.1
108,서울,2025-07-12,36.5
108,서울,2025-07-13,31
108,서울,2025-07-14,28.1
108,서울,2025-07-15,25.9
108,서울,2025-07-16,24.8
108,서울,2025-07-17,24.4
108,서울,2025-07-18,27.2
108,서울,2025-07-19,25.8
108,서울,2025-07-20,31.3
108,서울,2025-07-21,31.6
108,서울,2025-07-22,32.2
108,서울,2025-07-23,33.3
108,서울,2025-07-24,34.1
108,서울,2025-07-25,36.3
108,서울,2025-07-26,37.1
108,서울,2025-07-27,38
108,서울,2025-07-28,36.4
108,서울,2025-07-29,36.7
108,서울,2025-07-30,36.3
108,서울,2025-07-31,34.6
108,서울,2025-08-01,35.1
108,서울,2025-08-02,36.2
108,서울,2025-08-03,32.5
108,서울,2025-08-04,33.9
108,서울,2025-08-05,33.5
108,서울,2025-08-06,29.3
108,서울,2025-08-07,32.3
108,서울,2025-08-08,30.2
108,서울,2025-08-09,26.4
108,서울,2025-08-10,33.2
108,서울,2025-08-11,29.5
108,서울,2025-08-12,34.1
108,서울,2025-08-13,27.1
108,서울,2025-08-14,26.9
108,서울,2025-08-15,30.9
108,서울,2025-08-16,32.2
108,서울,2025-08-17,32
108,서울,2025-08-18,32.9
108,서울,2025-08-19,32.3
108,서울,2025-08-20,32.8
108,서울,2025-08-21,34.3
108,서울,2025-08-22,33.5
108,서울,2025-08-23,32.2
108,서울,2025-08-24,34.7
108,서울,2025-08-25,32.2
108,서울,2025-08-26,31.8
108,서울,2025-08-27,30.8
108,서울,2025-08-28,31
108,서울,2025-08-29,32.8
108,서울,2025-08-30,31.8
108,서울,2025-08-31,31.8
